from,to,weight,relationship
IM,CA,1,1
IM,BW,2,1
IM,S,1,6
IM,B,1,3
IM,H,2,1
BW,IM,2,1
BW,H,1,1
BW,CA,1,1
S,IM,1,6
S,CA,3,2
BP,B,1,3
H,BW,1,1
H,IM,2,1
H,CA,2,5
H,B,3,4
CA,IM,1,1
CA,H,2,5
CA,BW,1,1
CA,B,1,5
B,CA,1,5
